NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL8	53	26.440793991088867	0.098248	Yes	
row_1	LIF	142	22.851469039916992	0.18045391	Yes	
row_2	CX3CL1	216	21.144102096557617	0.25705785	Yes	
row_3	CSF1	478	16.831085205078125	0.30502927	Yes	
row_4	IL1B	506	16.472997665405273	0.3666251	Yes	
row_5	CXCL2	846	13.392266273498535	0.3963765	Yes	
row_6	CXCL3	849	13.372916221618652	0.4476574	Yes	
row_7	CCL2	997	12.286125183105469	0.48546496	Yes	
row_8	IL1A	1117	11.509737014770508	0.52208287	Yes	
row_9	CXCL12	1181	11.160329818725586	0.5609475	Yes	
row_10	CXCL5	1421	9.818497657775879	0.583371	Yes	
row_11	IL6	1521	9.412064552307129	0.613207	Yes	
row_12	TGFB1	1589	9.090413093566895	0.64385784	Yes	
row_13	IL11	1664	8.718060493469238	0.6726286	Yes	
row_14	CXCL11	1969	7.675240993499756	0.68264586	Yes	
row_15	CCL20	2050	7.354153156280518	0.70578873	Yes	
row_16	EBI3	3204	4.46855354309082	0.6490521	No	
row_17	IL23A	3662	3.6167984008789062	0.6336593	No	
row_18	CCL24	3671	3.601201057434082	0.6469904	No	
row_19	CXCL14	4259	2.740971326828003	0.6198969	No	
row_20	VEGFA	4622	2.2902750968933105	0.6054947	No	
row_21	IL7	4936	1.9563336372375488	0.59295	No	
row_22	IL12A	5932	1.0621193647384644	0.53324693	No	
row_23	NFKB1	6288	0.8063364624977112	0.51358885	No	
row_24	IL17D	6374	0.7498120665550232	0.51102227	No	
row_25	TNFSF13	6411	0.7261869311332703	0.5115061	No	
row_26	CCL26	6657	0.5911557078361511	0.4980725	No	
row_27	TSLP	8184	-0.05970386043190956	0.40047523	No	
row_28	IL15	8331	-0.10944479703903198	0.39153638	No	
row_29	CXCL16	10481	-1.6451337337493896	0.2600955	No	
row_30	SPP1	15270	-18.172880172729492	0.023014272	No	
